product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"SOUR PATCH KIDS Original Candy, SOUR PATCH KIDS Watermelon Candy & SWEDISH FISH",B087Z6RY25,16.93,4.7 out of 5 stars,"6,134",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNDM2OTQ0NzQ5NTY4NjE4OjE2OTE5NzAxMjg6c3BfYXRmOjIwMDA2MTU4MTIwMzU5ODo6MDo6&url=%2FOriginal-Watermelon-SWEDISH-Halloween-Variety%2Fdp%2FB087Z6RY25%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dcandies%26qid%3D1691970128%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/91JzIqxHVDL._AC_UL400_.jpg
"SOUR PATCH KIDS Bites Original Soft & Chewy Candy, 12 Ounce (Pack of 12)",B096L9NYGB,56.62,4.6 out of 5 stars,798,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNDM2OTQ0NzQ5NTY4NjE4OjE2OTE5NzAxMjg6c3BfYXRmOjIwMDA2MDM1ODk0NjE5ODo6MDo6&url=%2FSour-Patch-SOUDM-Original-Christmas%2Fdp%2FB096L9NYGB%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dcandies%26qid%3D1691970128%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/91kHylRfU9L._AC_UL400_.jpg
"SOUR PATCH KIDS Lemonade Fest Soft & Chewy Candy,8.02 oz (Pack of 8)",B0BVYDGXRV,17.92,4.7 out of 5 stars,"14,045",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNDM2OTQ0NzQ5NTY4NjE4OjE2OTE5NzAxMjg6c3BfYXRmOjIwMDEzNzAxNjg5MDM5ODo6MDo6&url=%2FSOUR-PATCH-Lemonade-Chewy-Candy%2Fdp%2FB0BVYDGXRV%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dcandies%26qid%3D1691970128%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81fa+o9UVIL._AC_UL400_.jpg
"STARBURST Original Fruit Chews Chewy Summer Candy Sharing Size Bag, 15.6oz",B07W8K9ZL3,3.82,4.7 out of 5 stars,"7,338",https://www.amazon.com/STARBURST-Original-Fruit-Chews-15-6-Ounce/dp/B07W8K9ZL3/ref=sr_1_4?keywords=candies&qid=1691970128&sr=8-4,https://m.media-amazon.com/images/I/6133FnSq+DL._AC_UL400_.jpg
Ring Pop Individually Wrapped Bulk Lollipop Variety Party Pack – 20 Count Lollipop Suckers w/ Assorted Flavors - Fun,B06XGNL1RX,7.69,4.8 out of 5 stars,"71,469",https://www.amazon.com/Ring-Pop-Individually-Lollipop-Assorted/dp/B06XGNL1RX/ref=sr_1_5?keywords=candies&qid=1691970128&sr=8-5,https://m.media-amazon.com/images/I/91eiAEgD4yL._AC_UL400_.jpg
"Assorted Bulk Candy Mix -Skittles, Air Heads, Swedish Fish, Sour Patch Kids, Hariibo, Starburst & More!- Individually Wrapped",B0BYBCF7BK,20.95,4.2 out of 5 stars,335,https://www.amazon.com/Assorted-Skittles-Swedish-Starburst-Individually/dp/B0BYBCF7BK/ref=sr_1_6?keywords=candies&qid=1691970128&sr=8-6,https://m.media-amazon.com/images/I/71UKKygfiaL._AC_UL400_.jpg
"JOLLY RANCHER Assorted Fruit Flavored Hard Candy Variety Bag, 46 oz",B086D2GK77,11.42,4.7 out of 5 stars,"46,638",https://www.amazon.com/RANCHER-Assorted-Flavored-Valentines-Variety/dp/B086D2GK77/ref=sr_1_7?keywords=candies&qid=1691970128&sr=8-7,https://m.media-amazon.com/images/I/812ahAT2FDL._AC_UL400_.jpg
"Gummi Savers Lifesavers Gummies Collisions Assorted Flavors, 7 oz",B01GHTRR8K,1.79,4.7 out of 5 stars,"3,013",https://www.amazon.com/Gummi-Savers-Lifesavers-Collisions-Assorted/dp/B01GHTRR8K/ref=sr_1_8?keywords=candies&qid=1691970128&sr=8-8,https://m.media-amazon.com/images/I/71HmELnY8dL._AC_UL400_.jpg
"Airheads Candy Bars, Variety Bulk Box, Chewy Full Size Fruit Taffy, Gifts, Holiday, Parties, Concessions, Pantry, Non Melting, Party, 60 Individually Wrapped Full Size Bars",B0017L4PH0,7.98,4.8 out of 5 stars,"85,955",https://www.amazon.com/AirHeads-Chewy-Fruit-Variety-Packaging/dp/B0017L4PH0/ref=sr_1_9?keywords=candies&qid=1691970128&sr=8-9,https://m.media-amazon.com/images/I/81jq232DzCL._AC_UL400_.jpg
"SKITTLES Original Chewy Summer Candy Sharing Size, 15.6oz",B07W6RHCKH,3.49,4.7 out of 5 stars,"2,034",https://www.amazon.com/Skittles-Original-Candy-Sharing-Ounces/dp/B07W6RHCKH/ref=sr_1_10?keywords=candies&qid=1691970128&sr=8-10,https://m.media-amazon.com/images/I/61NYZKJsmfL._AC_UL400_.jpg
