product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Amazon Fresh Colombia Whole Bean Coffee, Medium Roast, 32 Ounce",B071WWCVJV,14.51,4.3 out of 5 stars,"29,625",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyOTI3MzY4MTg1MTMwMjE5OjE2OTE5NzAxMDQ6c3BfYXRmOjIwMDAxMDUyMTczODQzMTo6MDo6&url=%2FAmazonFresh-Colombia-Whole-Coffee-Medium%2Fdp%2FB071WWCVJV%2Fref%3Dsr_1_1_ffob_sspa%3Fkeywords%3Dcoffee%2Bbeans%26qid%3D1691970104%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/7121M8H6isL._AC_UL400_.jpg
Starbucks Medium Roast Whole Bean Coffee — Breakfast Blend — 100% Arabica — 1 bag (18 oz),B09366FYN2,13.92,4.7 out of 5 stars,"57,817",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyOTI3MzY4MTg1MTMwMjE5OjE2OTE5NzAxMDQ6c3BfYXRmOjIwMDA0NzkyMTAyMTA5ODo6MDo6&url=%2FStarbucks-Medium-Roast-Whole-Coffee%2Fdp%2FB09366FYN2%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dcoffee%2Bbeans%26qid%3D1691970104%26rdc%3D1%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71fa8o44KyL._AC_UL400_.jpg
"Lavazza Espresso Italiano Whole Bean Coffee Blend, Medium Roast, 2.2 Pound Bag (Packaging May Vary) Premium Quality, Non GMO, 100% Arabica, Rich bodied",B00P0ZMWEC,14.49,4.5 out of 5 stars,"74,152",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyOTI3MzY4MTg1MTMwMjE5OjE2OTE5NzAxMDQ6c3BfYXRmOjIwMDA4NTE0MzA5NzY0MTo6MDo6&url=%2FLavazza-Espresso-Coffee-Medium-2-2-Pound%2Fdp%2FB00P0ZMWEC%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dcoffee%2Bbeans%26qid%3D1691970104%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51QSM56MTGL._AC_UL400_.jpg
"Lavazza Espresso Italiano Whole Bean Coffee Blend, Medium Roast, 2.2 Pound Bag (Packaging may vary) Premium Quality Arabic",B016RY0LWO,14.49,4.7 out of 5 stars,"2,295",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyOTI3MzY4MTg1MTMwMjE5OjE2OTE5NzAxMDQ6c3BfYXRmOjIwMDA2MDAyODY3Mjg5ODo6MDo6&url=%2FLavazza-Espresso-Coffee-Medium-2-2-Pound%2Fdp%2FB016RY0LWO%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dcoffee%2Bbeans%26qid%3D1691970104%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/51nrzsNZevL._AC_UL400_.jpg
"Amazon Fresh Colombia Whole Bean Coffee, Medium Roast, 32 Ounce",B071WWCVJV,14.51,4.3 out of 5 stars,"29,625",https://www.amazon.com/AmazonFresh-Colombia-Whole-Coffee-Medium/dp/B071WWCVJV/ref=sr_1_5?keywords=coffee+beans&qid=1691970104&sr=8-5,https://m.media-amazon.com/images/I/7121M8H6isL._AC_UL400_.jpg
"Lavazza Espresso Barista Gran Crema Whole Bean Coffee Blend, Medium Espresso Roast, Oz Bag (Packaging May Vary) - 2.2 LB, 35.2 Ounce",B005OJ4X32,14.49,4.5 out of 5 stars,"74,152",https://www.amazon.com/Lavazza-Coffee-Medium-Espresso-2-2-Pound/dp/B005OJ4X32/ref=sr_1_6?keywords=coffee+beans&qid=1691970104&sr=8-6,https://m.media-amazon.com/images/I/61zJFyE6NNL._AC_UL400_.jpg
"Cameron's Coffee Roasted Whole Bean Coffee, Breakfast Blend, 32 Ounce",B006Y7WAHE,9.98,4.6 out of 5 stars,"3,604",https://www.amazon.com/Camerons-Coffee-Roasted-Whole-Breakfast/dp/B006Y7WAHE/ref=sr_1_7?keywords=coffee+beans&qid=1691970104&sr=8-7,https://m.media-amazon.com/images/I/61FFO9a0vWL._AC_UL400_.jpg
"Tim Hortons Whole Bean Original, Medium Roast Coffee, Made with 100% Arabica Beans, 12 Ounce Bag",B00N23MY74,5.98,4.6 out of 5 stars,"2,755",https://www.amazon.com/Tim-Hortons-Arabica-Medium-Original/dp/B00N23MY74/ref=sr_1_8?keywords=coffee+beans&qid=1691970104&sr=8-8,https://m.media-amazon.com/images/I/71vok50fMsL._AC_UL400_.jpg
"Lavazza Espresso Italiano Whole Bean Coffee Blend, Medium Roast, 2.2 Pound Bag (Packaging may vary) Premium Quality Arabic",B016RY0LWO,14.49,4.7 out of 5 stars,"2,295",https://www.amazon.com/Lavazza-Espresso-Coffee-Medium-2-2-Pound/dp/B016RY0LWO/ref=sr_1_9?keywords=coffee+beans&qid=1691970104&sr=8-9,https://m.media-amazon.com/images/I/51nrzsNZevL._AC_UL400_.jpg
"Copper Moon Whole Bean Coffee, Dark Roast, Sumatra Blend, 2 Lb",B01L9YE808,16.98,4.4 out of 5 stars,"6,173",https://www.amazon.com/Copper-Moon-Sumatra-Smoothly-Full-Bodied/dp/B01L9YE808/ref=sr_1_10?keywords=coffee+beans&qid=1691970104&sr=8-10,https://m.media-amazon.com/images/I/71tghw+pMBL._AC_UL400_.jpg
"AmazonFresh Organic Fair Trade Sumatra Whole Bean Coffee, Dark Roast, 12 Ounce",B072MQFGHG,9.44,4.3 out of 5 stars,"29,625",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyOTI3MzY4MTg1MTMwMjE5OjE2OTE5NzAxMDQ6c3BfbXRmOjIwMDAxMzM3MTQwNjYyMTo6MDo6&url=%2FAmazonFresh-Organic-Trade-Sumatra-Coffee%2Fdp%2FB072MQFGHG%2Fref%3Dsr_1_11_ffob_sspa%3Fkeywords%3Dcoffee%2Bbeans%26qid%3D1691970104%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/81VE86P+G1L._AC_UL400_.jpg
DEATH WISH COFFEE Whole Bean Coffee Dark Roast - Extra Kick of Caffeine - USA Organic Coffee Beans Bundle/Bulk - Fair Trade Arabica & Robusta Coffee - Real Dark Roast Coffee Beans (16 oz),B006CNTR6W,17.48,4.6 out of 5 stars,"18,637",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyOTI3MzY4MTg1MTMwMjE5OjE2OTE5NzAxMDQ6c3BfbXRmOjIwMDA3MzE2MDc4MDM1MTo6MDo6&url=%2FDeath-Wish-Organic-Certified-Coffee%2Fdp%2FB006CNTR6W%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dcoffee%2Bbeans%26qid%3D1691970104%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA3FFNGPA34M6B1,https://m.media-amazon.com/images/I/61+OtZZtI4L._AC_UL400_.jpg
