product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"The New Primal Grass-Fed Meat Sticks, No Sugar, Keto, Whole30, Paleo, Gluten Free, 6g Protein, 80 Calories Each (Classic",B01CI3UIOE,38.99,4.3 out of 5 stars,"6,708",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNTYwMDA0Mjc0NzQ5NTE0OjE2OTE5NzA0NzU6c3BfYXRmOjIwMDEyMjgyNDc5NDg5ODo6MDo6&url=%2FNew-Primal-Classic-Gluten-Grass-Fed%2Fdp%2FB01CI3UIOE%2Fref%3Dsr_1_1_sspa%3Fcrid%3D141P86PZT1OFG%26keywords%3Dfresh%2Bbeef%26qid%3D1691970475%26rdc%3D1%26sprefix%3D%252Caps%252C67%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61uXXmE+P7L._AC_UL320_.jpg
"Fresh Brand – Ground Beef 90% Lean/10% Fat, 1 lb",B08LJVNW82,6.99,4.7 out of 5 stars,"12,173",https://www.amazon.com/90-Lean-Ground-Beef-16/dp/B08LJVNW82/ref=sr_1_2_f3_0o_fs?crid=141P86PZT1OFG&keywords=fresh+beef&qid=1691970475&sprefix=%2Caps%2C67&sr=8-2,https://m.media-amazon.com/images/I/71U6IysbhkL._AC_UL320_.jpg
"Fresh Brand – Beef Strips for Stir Fry, USDA Choice, Boneless, 1 lb",B0974FDLL5,8.69,4.5 out of 5 stars,"1,675",https://www.amazon.com/Fresh-Brand-Strips-Choice-Boneless/dp/B0974FDLL5/ref=sr_1_3_f3_0o_fs?crid=141P86PZT1OFG&keywords=fresh+beef&qid=1691970475&sprefix=%2Caps%2C67&sr=8-3,https://m.media-amazon.com/images/I/81YPbXsKH7L._AC_UL320_.jpg
Beef Round Top Steak Fresh Pack Step 1,B07S8B1CP6,8.99,4.5 out of 5 stars,679,https://www.amazon.com/Beef-Round-Steak-Fresh-Pack/dp/B07S8B1CP6/ref=sr_1_4_f3_0o_wf?crid=141P86PZT1OFG&keywords=fresh+beef&qid=1691970475&sprefix=%2Caps%2C67&sr=8-4,https://m.media-amazon.com/images/I/51g0xIdtvfL._AC_UL320_.jpg
"Fresh Brand – Beef Eye of Round Roast, USDA Choice, Boneless, 1 lb",B0974J1PLN,7.29,4.3 out of 5 stars,528,https://www.amazon.com/Fresh-Brand-Round-Choice-Boneless/dp/B0974J1PLN/ref=sr_1_5_f3_0o_fs?crid=141P86PZT1OFG&keywords=fresh+beef&qid=1691970475&sprefix=%2Caps%2C67&sr=8-5,https://m.media-amazon.com/images/I/71olqUfksQL._AC_UL320_.jpg
"Fresh Brand – Ground Beef 80% Lean/20% Fat, 1 lb",B08LJVQSL2,5.29,4.7 out of 5 stars,"18,676",https://www.amazon.com/Swift-Lean-Ground-Beef-Ounce/dp/B08LJVQSL2/ref=sr_1_6_f3_0o_fs?crid=141P86PZT1OFG&keywords=fresh+beef&qid=1691970475&sprefix=%2Caps%2C67&sr=8-6,https://m.media-amazon.com/images/I/71xVNlSIuIL._AC_UL320_.jpg
"Fresh Brand – Beef Top Sirloin Steak, USDA Choice, Boneless, 8 oz",B0974J1PNB,6.99,4.3 out of 5 stars,428,https://www.amazon.com/Fresh-Brand-Sirloin-Choice-Boneless/dp/B0974J1PNB/ref=sr_1_7_f3_0o_fs?crid=141P86PZT1OFG&keywords=fresh+beef&qid=1691970475&sprefix=%2Caps%2C67&sr=8-7,https://m.media-amazon.com/images/I/712522kCkLL._AC_UL320_.jpg
"Fresh Brand - Beef Blade Chuck Steak, USDA Choice, Boneless, 1 lb",B0974FQBSK,7.99,4.5 out of 5 stars,905,https://www.amazon.com/Fresh-Brand-Blade-Choice-Boneless/dp/B0974FQBSK/ref=sr_1_8_f3_0o_fs?crid=141P86PZT1OFG&keywords=fresh+beef&qid=1691970475&sprefix=%2Caps%2C67&sr=8-8,https://m.media-amazon.com/images/I/71dkUeO47dL._AC_UL320_.jpg
"Fresh Brand – Beef Inside Skirt Steak, USDA Choice, Boneless, 1 lb",B0974FFC93,13.99,4.5 out of 5 stars,337,https://www.amazon.com/Fresh-Brand-Inside-Choice-Boneless/dp/B0974FFC93/ref=sr_1_9_f3_0o_fs?crid=141P86PZT1OFG&keywords=fresh+beef&qid=1691970475&sprefix=%2Caps%2C67&sr=8-9,https://m.media-amazon.com/images/I/81DH+Q25zSL._AC_UL320_.jpg
"Fresh Brand – Beef Top Blade Flat Iron Steak, USDA Choice, Boneless, 8 oz",B08LL9R3M5,5.49,4.4 out of 5 stars,"3,189",https://www.amazon.com/USDA-Choice-Flat-Iron-Steak/dp/B08LL9R3M5/ref=sr_1_10_f3_0o_fs?crid=141P86PZT1OFG&keywords=fresh+beef&qid=1691970475&sprefix=%2Caps%2C67&sr=8-10,https://m.media-amazon.com/images/I/71pFyIPuzmL._AC_UL320_.jpg
