product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Izze Sparkling Juice, 4 Flavor Variety Pack, 8.4 Fl Oz (24 Count)",B00XA0DP86,17.44,4.7 out of 5 stars,"35,575",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NzIyMTE0MjI0MTUwMDEwOjE2OTE5NzAzNzQ6c3BfYXRmOjIwMDE2ODY3OTcxMDM5ODo6MDo6&url=%2FSparkling-Juice-Flavor-Variety-Count%2Fdp%2FB00XA0DP86%2Fref%3Dsr_1_1_sspa%3Fcrid%3D31KUTUP7JAZU3%26keywords%3Dfruit%2Bjuices%26qid%3D1691970374%26sprefix%3D%252Caps%252C80%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/91C2Rl4V4FL._AC_UL400_.jpg
"Tropicana 100% Juice 3-flavor Classic Variety Pack,10 Fl Oz (Pack of 24)",B06Y451LXL,17.79,4.6 out of 5 stars,"42,853",https://www.amazon.com/Tropicana-3-flavor-Classic-Variety-Bottles/dp/B06Y451LXL/ref=sr_1_2?crid=31KUTUP7JAZU3&keywords=fruit+juices&qid=1691970374&sprefix=%2Caps%2C80&sr=8-2,https://m.media-amazon.com/images/I/91A6PHzye1L._AC_UL400_.jpg
"Tropicana Juice, Strawberry Orange, 10 Ounce (Pack of 15)",B01BLOUL4I,16.99,4.5 out of 5 stars,"1,703",https://www.amazon.com/Tropicana-Juice-Strawberry-Orange-Ounce/dp/B01BLOUL4I/ref=sr_1_3?crid=31KUTUP7JAZU3&keywords=fruit+juices&qid=1691970374&sprefix=%2Caps%2C80&sr=8-3,https://m.media-amazon.com/images/I/7143u2AMsqL._AC_UL400_.jpg
Jumex Guava Nectar and Strawberry-Banana Nectar Fridge Pack | Recyclable Can with Non-BPA Lining | Two Varieties in One Convenient Package | 11.3 Fl Oz (Pack of 12),B00VBQYXNM,7.98,4.5 out of 5 stars,"2,174",https://www.amazon.com/Jumex-Guava-Strawberry-Banana-12-Count/dp/B00VBQYXNM/ref=sr_1_4?crid=31KUTUP7JAZU3&keywords=fruit+juices&qid=1691970374&sprefix=%2Caps%2C80&sr=8-4,https://m.media-amazon.com/images/I/81LK-V1cBYL._AC_UL400_.jpg
"Sparkling Ice Pink Variety Pack, Flavored Sparkling Water, Zero Sugar, with Vitamins and Antioxidants, 17 fl oz, 12 count (Black Cherry, Peach Nectarine, Coconut Pineapple,",B079RDDVP6,10.98,4.7 out of 5 stars,"38,746",https://www.amazon.com/Sparkling-Variety-Nectarine-Pineapple-Grapefruit/dp/B079RDDVP6/ref=sr_1_5?crid=31KUTUP7JAZU3&keywords=fruit+juices&qid=1691970374&sprefix=%2Caps%2C80&sr=8-5,https://m.media-amazon.com/images/I/619sO6chcJL._AC_UL400_.jpg
"Hawaiian Punch Fruit Juicy Red, 10 Fluid Ounce Bottle, 6 Count (Pack of 4)",B004FEGLLO,11.96,4.7 out of 5 stars,"9,296",https://www.amazon.com/Hawaiian-Punch-Fruit-Juicy-bottles/dp/B004FEGLLO/ref=sr_1_6?crid=31KUTUP7JAZU3&keywords=fruit+juices&qid=1691970374&sprefix=%2Caps%2C80&sr=8-6,https://m.media-amazon.com/images/I/81wt8S28PNS._AC_UL400_.jpg
"Capri Sun 100% Juice Fruit Punch Naturally Flavored Kids Juice Blend (40 ct Pack, 4 Boxes of 10 Pouches)",B01BSKPMHQ,15.92,4.8 out of 5 stars,"12,137",https://www.amazon.com/Capri-Sun-Juice-Blend-Pouches/dp/B01BSKPMHQ/ref=sr_1_7?crid=31KUTUP7JAZU3&keywords=fruit+juices&qid=1691970374&sprefix=%2Caps%2C80&sr=8-7,https://m.media-amazon.com/images/I/81YeqylgnCL._AC_UL400_.jpg
"Amazon Brand - Happy Belly Grape Cranberry Juice Cocktail, 64 Fl Oz Bottle",B07WJGM97S,2.69,4.6 out of 5 stars,"4,696",https://www.amazon.com/Amazon-Brand-Happy-Cranberry-Concentrate/dp/B07WJGM97S/ref=sr_1_8?crid=31KUTUP7JAZU3&keywords=fruit+juices&qid=1691970374&sprefix=%2Caps%2C80&sr=8-8,https://m.media-amazon.com/images/I/71CyMp+a9nL._AC_UL400_.jpg
"Tropicana Juice, Fruit Medley,10 Fl Oz (Pack of 15)",B01BLOULX4,16.99,4.7 out of 5 stars,"3,713",https://www.amazon.com/Tropicana-Juice-Fruit-Medley-Ounce/dp/B01BLOULX4/ref=sr_1_9?crid=31KUTUP7JAZU3&keywords=fruit+juices&qid=1691970374&sprefix=%2Caps%2C80&sr=8-9,https://m.media-amazon.com/images/I/81XC3hEltqL._AC_UL400_.jpg
"AriZona Fruit Punch, 16.9 Fl Oz (Pack Of 20)",B07FQTPP3F,26.80,4.0 out of 5 stars,"1,219",https://www.amazon.com/AriZona-Fruit-Punch-16-9-Pack/dp/B07FQTPP3F/ref=sr_1_10?crid=31KUTUP7JAZU3&keywords=fruit+juices&qid=1691970374&sprefix=%2Caps%2C80&sr=8-10,https://m.media-amazon.com/images/I/91ZtmYR09QL._AC_UL400_.jpg
