product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Holikme 8 Pack Bottle Brush Cleaning Set, Long Handle Bottle Cleaner for Washing Narrow Neck Beer Bottles Wine Decanter Narrow Cup Pipes Sinks Cup Cover, White",B086D7SX8K,9.95,4.5 out of 5 stars,"21,296",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NDM4OTk2NTc3MjM1Nzc2OjE2OTE5NzA4MjM6c3BfYXRmOjIwMDA3NDY3NzMwNTM5ODo6MDo6&url=%2FHolikme-Cleaning-Set%25EF%25BC%258CLong-cup%25EF%25BC%258CPipes-cover%25EF%25BC%258CWhite%2Fdp%2FB086D7SX8K%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3NNEVWGA8TMTH%26keywords%3Dhousing%2Bhold%2Bcleaners%26qid%3D1691970823%26sprefix%3D%252Caps%252C89%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71rkMrMeTiL._AC_UL400_.jpg
"Non-Toxic Multi Purpose Cleaner, Household Cleaner, Biodegradable, Kid and Pet Friendly, TWO Gallons",B08VBT2KV3,29.99,0,0,https://www.amazon.com/Non-Toxic-Purpose-Household-Biodegradable-Friendly/dp/B08VBT2KV3/ref=sr_1_2?crid=3NNEVWGA8TMTH&keywords=housing+hold+cleaners&qid=1691970823&sprefix=%2Caps%2C89&sr=8-2,https://m.media-amazon.com/images/I/71QUkAH1zcL._AC_UL400_.jpg
"Pentair Pentek BBFS-22 Big Blue Two-Housing Filtration System, 1"" NPT #20 High Capacity Water Filter Housing, Holds 20"" x 4.5"" Filter Cartridges",B007KDZ1YA,229.74,4.3 out of 5 stars,122,https://www.amazon.com/Pentek-160166-BBFS-22-Housing-System/dp/B007KDZ1YA/ref=sr_1_3?crid=3NNEVWGA8TMTH&keywords=housing+hold+cleaners&qid=1691970823&sprefix=%2Caps%2C89&sr=8-3,https://m.media-amazon.com/images/I/71v30RSWteL._AC_UL400_.jpg
"Sugelary Mold Remover Gel, Household Washing Machine Cleaner for Washing Machine, Refrigerator Strips, Grout Cleaner Best for Home Sink, Kitchen, Showers(1Pack)",B08JQ6HNWM,12.99,3.9 out of 5 stars,"2,076",https://www.amazon.com/Remover-Household-Cleaner-Washing-Bathroom/dp/B08JQ6HNWM/ref=sr_1_4?crid=3NNEVWGA8TMTH&keywords=housing+hold+cleaners&qid=1691970823&sprefix=%2Caps%2C89&sr=8-4,https://m.media-amazon.com/images/I/71THWOOCuuL._AC_UL400_.jpg
"Sapadilla Multi-Surface Countertop Spray - Grapefruit + Bergamot - Made with 100% Pure Essential Oil Blends, Multi-Purpose Household Cleaner, Aromatic, Plant Based, Biodegradable, 16 Ounce (Pack of 3)",B082Q1ZZS3,25.99,4.6 out of 5 stars,"4,044",https://www.amazon.com/Sapadilla-Grapefruit-Bergamot-Biodegradeable-Countertop/dp/B082Q1ZZS3/ref=sr_1_5?crid=3NNEVWGA8TMTH&keywords=housing+hold+cleaners&qid=1691970823&sprefix=%2Caps%2C89&sr=8-5,https://m.media-amazon.com/images/I/81DiBOtlZ5L._AC_UL400_.jpg
Thieves Household Cleaner 14.4 fl.oz. by Young Living Essential Oils - 3 Pack,B07NCYFT3H,109.15,4.8 out of 5 stars,"5,458",https://www.amazon.com/Thieves-Household-Young-Living-Essential/dp/B07NCYFT3H/ref=sr_1_6?crid=3NNEVWGA8TMTH&keywords=housing+hold+cleaners&qid=1691970823&sprefix=%2Caps%2C89&sr=8-6,https://m.media-amazon.com/images/I/21ITx6RGj-L._AC_UL400_.jpg
GELIVABLE Mold Mildew Cleaner Gel Household Cleaner for Wall Tiles Grout Sealant Bathroom Cleaning Home Kitchen Sinks Cleaning - 8 Fl.Oz(Pack of 1),B08CR37VXQ,16.99,4.2 out of 5 stars,"2,828",https://www.amazon.com/GELIVABLE-Remover-Household-Bathroom-Cleaning/dp/B08CR37VXQ/ref=sr_1_7?crid=3NNEVWGA8TMTH&keywords=housing+hold+cleaners&qid=1691970823&sprefix=%2Caps%2C89&sr=8-7,https://m.media-amazon.com/images/I/61Z-nxtfr5L._AC_UL400_.jpg
"HARRIS Cleaning Vinegar All Purpose Household Surface Cleaner, 128oz (Orange)",B089WHYXM1,21.35,4.6 out of 5 stars,"1,548",https://www.amazon.com/Cleaning-Vinegar-Mandarin-Purpose-Household/dp/B089WHYXM1/ref=sr_1_8?crid=3NNEVWGA8TMTH&keywords=housing+hold+cleaners&qid=1691970823&rdc=1&sprefix=%2Caps%2C89&sr=8-8,https://m.media-amazon.com/images/I/61hNil-a2sL._AC_UL400_.jpg
2 Pcs Car Air Filter Cleaner Housing Box Lid Spring Clip Clamp Car Assecories Men Women,B0C9TVG99V,6.99,0,0,https://www.amazon.com/Filter-Cleaner-Housing-Spring-Assecories/dp/B0C9TVG99V/ref=sr_1_9?crid=3NNEVWGA8TMTH&keywords=housing+hold+cleaners&qid=1691970823&sprefix=%2Caps%2C89&sr=8-9,https://m.media-amazon.com/images/I/41TBFzAwuoL._AC_UL400_.jpg
Dorman 41101: Air Cleaner Hold-Down Clamp Assortment,B001SG90CY,8.27,4.0 out of 5 stars,242,https://www.amazon.com/Dorman-41101-Air-Cleaner-Hardware/dp/B001SG90CY/ref=sr_1_10?crid=3NNEVWGA8TMTH&keywords=housing+hold+cleaners&qid=1691970823&sprefix=%2Caps%2C89&sr=8-10,https://m.media-amazon.com/images/I/41Ir+qWu0gL._AC_UL400_.jpg
