product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Amazon Brand - Happy Belly Creamy Peanut Butter, 16 Ounce, 1 Pound (Pack of 1)",B07KWH27FN,2.39,4.5 out of 5 stars,"16,616",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0ODE3OTg1MjQxNjYxNzExOjE2OTE5NzA3NDI6c3BfYXRmOjIwMDAxNzQ3MDYzNzE4MTo6MDo6&url=%2FAmazon-Brand-Creamy-Peanut-Butter%2Fdp%2FB07KWH27FN%2Fref%3Dsr_1_1_ffob_sspa%3Fcrid%3D1E7DW5HDJIE6N%26keywords%3Dpeanut%2Bbutter%26qid%3D1691970742%26sprefix%3D%252Caps%252C74%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81-Az2+kZcL._AC_UL400_.jpg
"Skippy Peanut Butter, Creamy, 28 oz",B000RYC9GM,4.28,4.8 out of 5 stars,"27,671",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0ODE3OTg1MjQxNjYxNzExOjE2OTE5NzA3NDI6c3BfYXRmOjIwMDA2MTYzOTExNjc5ODo6MDo6&url=%2FSkippy-Peanut-Butter-Creamy-28%2Fdp%2FB000RYC9GM%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1E7DW5HDJIE6N%26keywords%3Dpeanut%2Bbutter%26qid%3D1691970742%26sprefix%3D%252Caps%252C74%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71DVNLKMYoL._AC_UL400_.jpg
"Peter Pan Original Creamy Peanut Butter, no high-fructose corn syrup, Pack of 12",B0B3HBMZWX,31.68,4.7 out of 5 stars,232,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0ODE3OTg1MjQxNjYxNzExOjE2OTE5NzA3NDI6c3BfYXRmOjIwMDA3MjgxMDc1NzI5ODo6MDo6&url=%2FPeter-Pan-Original-Creamy-high-fructose%2Fdp%2FB0B3HBMZWX%2Fref%3Dsr_1_3_sspa%3Fcrid%3D1E7DW5HDJIE6N%26keywords%3Dpeanut%2Bbutter%26qid%3D1691970742%26sprefix%3D%252Caps%252C74%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71krIAdOV6L._AC_UL400_.jpg
"SKIPPY Natural Peanut Butter Spread, Creamy, 7 g protein per serving, 40 oz.",B003ZWI61U,5.92,4.7 out of 5 stars,"12,860",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0ODE3OTg1MjQxNjYxNzExOjE2OTE5NzA3NDI6c3BfYXRmOjIwMDA2MTYzOTExNTg5ODo6MDo6&url=%2FSkippy-Natural-Creamy-Peanut-Butter%2Fdp%2FB003ZWI61U%2Fref%3Dsr_1_4_sspa%3Fcrid%3D1E7DW5HDJIE6N%26keywords%3Dpeanut%2Bbutter%26qid%3D1691970742%26sprefix%3D%252Caps%252C74%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/718KQqEHq6L._AC_UL400_.jpg
"SKIPPY Creamy Peanut Butter, 40 Ounce Twin Pack,2.5 Pound (Pack of 2)",B07DTYVDJ6,10.53,4.7 out of 5 stars,"1,475",https://www.amazon.com/Skippy-Creamy-Peanut-Butter-Ounces/dp/B07DTYVDJ6/ref=sr_1_5?crid=1E7DW5HDJIE6N&keywords=peanut+butter&qid=1691970742&sprefix=%2Caps%2C74&sr=8-5,https://m.media-amazon.com/images/I/81NXRSZvkFL._AC_UL400_.jpg
"JUSTINS No Stir, Gluten-Free, Honey Peanut Butter, 28 oz Jar",B07DF1SJCD,6.47,4.5 out of 5 stars,"11,819",https://www.amazon.com/Justins-Butter-Ingredients-Gluten-free-Responsibly/dp/B07DF1SJCD/ref=sr_1_6?crid=1E7DW5HDJIE6N&keywords=peanut+butter&qid=1691970742&sprefix=%2Caps%2C74&sr=8-6,https://m.media-amazon.com/images/I/61CRvxJFgBL._AC_UL400_.jpg
"Amazon Brand - Happy Belly Creamy Peanut Butter, 16 Ounce, 1 Pound (Pack of 1)",B07KWH27FN,2.39,4.5 out of 5 stars,"16,616",https://www.amazon.com/Amazon-Brand-Creamy-Peanut-Butter/dp/B07KWH27FN/ref=sr_1_7?crid=1E7DW5HDJIE6N&keywords=peanut+butter&qid=1691970742&sprefix=%2Caps%2C74&sr=8-7,https://m.media-amazon.com/images/I/81-Az2+kZcL._AC_UL400_.jpg
"SKIPPY SUPER CHUNK Extra Crunchy Peanut Butter, 64 Ounce",B07J191WP2,9.58,4.8 out of 5 stars,"27,671",https://www.amazon.com/Skippy-Super-Chunk-Peanut-Butter/dp/B07J191WP2/ref=sr_1_8?crid=1E7DW5HDJIE6N&keywords=peanut+butter&qid=1691970742&sprefix=%2Caps%2C74&sr=8-8,https://m.media-amazon.com/images/I/81PQgOtPmSL._AC_UL400_.jpg
"SKIPPY Creamy Peanut Butter, 5 Pound",B00LPE5EZQ,8.57,4.7 out of 5 stars,"13,808",https://www.amazon.com/Skippy-Creamy-Peanut-Butter-Pound/dp/B00LPE5EZQ/ref=sr_1_9?crid=1E7DW5HDJIE6N&keywords=peanut+butter&qid=1691970742&sprefix=%2Caps%2C74&sr=8-9,https://m.media-amazon.com/images/I/71pkBv55DaL._AC_UL400_.jpg
"Jif Creamy Peanut Butter, 16 Ounces (Pack of 3)",B00PJCYOWE,9.36,4.8 out of 5 stars,"11,565",https://www.amazon.com/Jif-Creamy-Peanut-Butter-Ounce/dp/B00PJCYOWE/ref=sr_1_10?crid=1E7DW5HDJIE6N&keywords=peanut+butter&qid=1691970742&sprefix=%2Caps%2C74&sr=8-10,https://m.media-amazon.com/images/I/71cLJDlJjKL._AC_UL400_.jpg
"Amazon Brand - Happy Belly Crunchy Peanut Butter, 40 Ounce",B07GSFB931,5.58,4.5 out of 5 stars,"1,235",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0ODE3OTg1MjQxNjYxNzExOjE2OTE5NzA3NDI6c3BfbXRmOjIwMDAxMzc3ODg2MTMyMTo6MDo6&url=%2FAmazon-Brand-Crunchy-Peanut-Butter%2Fdp%2FB07GSFB931%2Fref%3Dsr_1_11_ffob_sspa%3Fcrid%3D1E7DW5HDJIE6N%26keywords%3Dpeanut%2Bbutter%26qid%3D1691970742%26sprefix%3D%252Caps%252C74%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/71xeChj5dRL._AC_UL400_.jpg
"SKIPPY Creamy Natural Peanut Butter, 40 Ounce Twin Pack, 2.5 Pound (Pack of 2)",B07DTLFHWW,10.75,4.7 out of 5 stars,"12,860",https://www.amazon.com/Skippy-Natural-Creamy-Peanut-Butter/dp/B07DTLFHWW/ref=sr_1_12?crid=1E7DW5HDJIE6N&keywords=peanut+butter&qid=1691970742&sprefix=%2Caps%2C74&sr=8-12,https://m.media-amazon.com/images/I/81ysal0WGIL._AC_UL400_.jpg
"Skippy Peanut Butter, Super Chunky, 80 oz (2 ct)",B01F21XELI,10.75,4.9 out of 5 stars,15,https://www.amazon.com/Skippy-Super-Chunk-Peanut-Butter/dp/B01F21XELI/ref=sr_1_13?crid=1E7DW5HDJIE6N&keywords=peanut+butter&qid=1691970742&sprefix=%2Caps%2C74&sr=8-13,https://m.media-amazon.com/images/I/81fwABYNsfL._AC_UL400_.jpg
"365 by Whole Foods Market, Creamy Peanut Butter With Salt, 16 Ounce",B074H57SPT,3.49,4.0 out of 5 stars,"9,224",https://www.amazon.com/365-Everyday-Value-Peanut-Butter/dp/B074H57SPT/ref=sr_1_14?crid=1E7DW5HDJIE6N&keywords=peanut+butter&qid=1691970742&sprefix=%2Caps%2C74&sr=8-14,https://m.media-amazon.com/images/I/51sB8EXvQcL._AC_UL400_.jpg
"Simply Jif Creamy Peanut Butter, 15.5 Ounces",B000RYCIO0,3.29,4.6 out of 5 stars,990,https://www.amazon.com/Jif-Peanut-Butter-Simply-Creamy/dp/B000RYCIO0/ref=sr_1_15_f3_0o_fs?crid=1E7DW5HDJIE6N&keywords=peanut+butter&qid=1691970742&sprefix=%2Caps%2C74&sr=8-15,https://m.media-amazon.com/images/I/71H3zw7YTBL._AC_UL400_.jpg
"Good Good Crunchy & Creamy Peanut Butter - Keto Friendly - Low Calorie, Low Carb & No Added Sugars - Vegan - Gluten Free - Non-GMO - 340g Jars",B0BM4D6QDR,16.99,4.3 out of 5 stars,302,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0ODE3OTg1MjQxNjYxNzExOjE2OTE5NzA3NDI6c3BfbXRmOjMwMDAyODAxNzI5MTYwMjo6MDo6&url=%2FGood-Crunchy-Creamy-Peanut-Butter%2Fdp%2FB0BM4D6QDR%2Fref%3Dsr_1_16_sspa%3Fcrid%3D1E7DW5HDJIE6N%26keywords%3Dpeanut%2Bbutter%26qid%3D1691970742%26sprefix%3D%252Caps%252C74%26sr%3D8-16-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/61SolxIIMfL._AC_UL400_.jpg
