product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Red Baron, Classic Pepperoni Pizza, 20.60 oz (Frozen)",B0073HEMFW,6.69,4.7 out of 5 stars,"7,175",https://www.amazon.com/Red-Baron-Classic-Pepperoni-Frozen/dp/B0073HEMFW/ref=sr_1_1_f3_0o_fs?keywords=pizzas&qid=1691971094&sr=8-1,https://m.media-amazon.com/images/I/91ubP-YuiDL._AC_UL320_.jpg
"Whole Foods Market, Prepared Foods Pizza, Cheese 16"", 34.35 Ounce",B08DK3X7Y3,10.99,4.3 out of 5 stars,514,https://www.amazon.com/Whole-Foods-Market-Prepared-Cheese/dp/B08DK3X7Y3/ref=sr_1_2_f3_0o_wf?keywords=pizzas&qid=1691971094&sr=8-2,https://m.media-amazon.com/images/I/91qdcgSXHML._AC_UL320_.jpg
"Gourmet Kitchn Red Baron Deep Dish Pizza Singles, Variety Pack | 24 Pizzas Total | 12 Cheese, 12 Pepperoni, 2 Pack",B098BBZGZ4,99.00,3.7 out of 5 stars,31,https://www.amazon.com/Gourmet-Kitchn-Singles-Variety-Pepperoni/dp/B098BBZGZ4/ref=sr_1_3?keywords=pizzas&qid=1691971094&sr=8-3,https://m.media-amazon.com/images/I/81cie5OXEnS._AC_UL320_.jpg
"365 By Whole Foods Market, Pizza Pepperoni Large, 36.8 Ounce",B08DK43L35,11.99,4.4 out of 5 stars,645,https://www.amazon.com/Whole-Foods-Market-Prepared-Pepperoni/dp/B08DK43L35/ref=sr_1_4_f3_0o_wf?keywords=pizzas&qid=1691971094&sr=8-4,https://m.media-amazon.com/images/I/91mpTovGiML._AC_UL320_.jpg
"Totino's Party Pizza, Pepperoni Flavored, Frozen Snacks, 1 ct",B0042PAS9W,2.19,4.6 out of 5 stars,"1,449",https://www.amazon.com/Totinos-Party-Pizza-Pepperoni-Frozen/dp/B0042PAS9W/ref=sr_1_5_f3_0o_fs?keywords=pizzas&qid=1691971094&sr=8-5,https://m.media-amazon.com/images/I/81UFvBBoG-L._AC_UL320_.jpg
"365 by Whole Foods Market, Pizza Thin Crust Uncured Pepperoni, 13.3 Ounce",B0812LRJ94,4.99,4.5 out of 5 stars,"3,989",https://www.amazon.com/365-Whole-Foods-Market-Pepperoni/dp/B0812LRJ94/ref=sr_1_6_f3_0o_wf?keywords=pizzas&qid=1691971094&sr=8-6,https://m.media-amazon.com/images/I/610NIFjOscL._AC_UL320_.jpg
"Tombstone Pepperoni Frozen Pizza, 19.3 Oz",B07V3TBVR2,5.29,4.6 out of 5 stars,"1,293",https://www.amazon.com/Tombstone-Original-Classic-Frozen-Pepperoni/dp/B07V3TBVR2/ref=sr_1_7_f3_0o_fs?keywords=pizzas&qid=1691971094&sr=8-7,https://m.media-amazon.com/images/I/81AIjweWbxL._AC_UL320_.jpg
"365 by Whole Foods Market, Pizza Thin Crust Four Cheese, 12.5 Ounce",B0812LP6PJ,4.99,4.5 out of 5 stars,"5,106",https://www.amazon.com/365-Whole-Foods-Market-Frozen/dp/B0812LP6PJ/ref=sr_1_8_f3_0o_wf?keywords=pizzas&qid=1691971094&sr=8-8,https://m.media-amazon.com/images/I/61iZQF0e8+L._AC_UL320_.jpg
"Amazon Kitchen, 14"" Take & Bake Pepperoni Pizza, Refrigerated, 33.5 oz",B09HJMDCG7,8.49,4.0 out of 5 stars,933,https://www.amazon.com/Amazon-Kitchen-Take-Pepperoni-Pizza/dp/B09HJMDCG7/ref=sr_1_9_f3_0o_fs?keywords=pizzas&qid=1691971094&sr=8-9,https://m.media-amazon.com/images/I/81ocSiW6baL._AC_UL320_.jpg
"Red Baron Brick Oven Supreme Pizza, Frozen, 18.64 Oz",B08448LKFL,6.49,4.4 out of 5 stars,585,https://www.amazon.com/Red-Baron-Brick-Supreme-Frozen/dp/B08448LKFL/ref=sr_1_10_f3_0o_fs?keywords=pizzas&qid=1691971094&sr=8-10,https://m.media-amazon.com/images/I/910eayDFXLL._AC_UL320_.jpg
DIGIORNO Frozen Pizza - Frozen Pepperoni Pizza - 27.5 oz Rising Crust Pizza,B000RU8XUW,8.79,4.7 out of 5 stars,"7,578",https://www.amazon.com/DIGIORNO-Original-Rising-Pepperoni-Mozzarella/dp/B000RU8XUW/ref=sr_1_11_f3_0o_fs?keywords=pizzas&qid=1691971094&sr=8-11,https://m.media-amazon.com/images/I/91emTSWGzLL._AC_UL320_.jpg
"Newman's Own Uncured Pepperoni Pizza, 15.1 Oz",B08GLGZH85,8.49,4.4 out of 5 stars,287,https://www.amazon.com/Newmans-AmazonFresh-amazon-Uncured-Pepperoni/dp/B08GLGZH85/ref=sr_1_12_f3_0o_fs?keywords=pizzas&qid=1691971094&sr=8-12,https://m.media-amazon.com/images/I/91QxMjnZOML._AC_UL320_.jpg
"Red Baron Deep Dish Singles Pepperoni Pizza, 11.2 oz (frozen)",B07P6H7NCN,4.99,4.6 out of 5 stars,"6,671",https://www.amazon.com/Red-Baron-Singles-Pepperoni-frozen/dp/B07P6H7NCN/ref=sr_1_13_f3_0o_fs?keywords=pizzas&qid=1691971094&sr=8-13,https://m.media-amazon.com/images/I/91d7HHEDVnL._AC_UL320_.jpg
"Red Baron Classic Four Cheese Pizza (Frozen), 21.06 Oz",B0073HEOEG,6.29,4.6 out of 5 stars,"7,905",https://www.amazon.com/Red-Baron-Classic-Cheese-Frozen/dp/B0073HEOEG/ref=sr_1_14_f3_0o_fs?keywords=pizzas&qid=1691971094&sr=8-14,https://m.media-amazon.com/images/I/91xhMw9DmQL._AC_UL320_.jpg
"Totino's Party Pizza Pack, Pepperoni Flavored, Frozen Snacks, 4 ct",B00O7NVS7U,8.39,4.7 out of 5 stars,"1,735",https://www.amazon.com/Totinos-Pepperoni-Party-Pizza-Frozen/dp/B00O7NVS7U/ref=sr_1_15_f3_0o_fs?keywords=pizzas&qid=1691971094&sr=8-15,https://m.media-amazon.com/images/I/91l3dXtlOzL._AC_UL320_.jpg
