product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"Hero Classic White Bread — Delicious Bread with 0g Net Carb, 0g Sugar, 45 Calories, 11g Fiber per Slice | Tastes Like Regular Bread | Low Carb & Keto Friendly Bread Loaf —15 Slices/Loaf, 2 Loaves",B0B6WWVLP9,26.99,4.3 out of 5 stars,564,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3OTk2ODQxMjQwMTI3NDQ0OjE2OTE5NzEwMTQ6c3BfYXRmOjIwMDE3NTM1MjEzMTY5ODo6MDo6&url=%2FHero-Classic-White-Bread-Delicious%2Fdp%2FB0B6WWVLP9%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dsandwiches%26qid%3D1691971014%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71RFS0CSO2L._AC_UL400_.jpg
"Whole Foods Market, Black Forest Ham & Swiss Sandwich, 12.5 Ounce",B089WFY99T,7.99,3.8 out of 5 stars,38,https://www.amazon.com/WHOLE-FOODS-MARKET-Forest-Sandwich/dp/B089WFY99T/ref=sr_1_2_f3_0o_wf?keywords=sandwiches&qid=1691971014&sr=8-2,https://m.media-amazon.com/images/I/81WflWcFWXL._AC_UL400_.jpg
"Whole Foods Market, Sandwich Chicken Salad Fresh Pack, 9.2 Ounce",B089WHNSGH,7.99,3.5 out of 5 stars,37,https://www.amazon.com/WHOLE-FOODS-MARKET-Chicken-Sandwich/dp/B089WHNSGH/ref=sr_1_3_f3_0o_wf?keywords=sandwiches&qid=1691971014&sr=8-3,https://m.media-amazon.com/images/I/81PCpz90mhL._AC_UL400_.jpg
"Whole Foods Market, Sandwich Box Egg Salad Fresh Pack, 10.4 Ounce",B089WHGXJ4,7.99,4.1 out of 5 stars,13,https://www.amazon.com/WHOLE-FOODS-MARKET-Salad-Sandwich/dp/B089WHGXJ4/ref=sr_1_4_f3_0o_wf?keywords=sandwiches&qid=1691971014&sr=8-4,https://m.media-amazon.com/images/I/81ttJT970VL._AC_UL400_.jpg
Whole Foods Market Tuna Salad Sandwich Box,B089WHK7Z8,7.99,4.0 out of 5 stars,31,https://www.amazon.com/Whole-Foods-Market-Sandwich-Salad/dp/B089WHK7Z8/ref=sr_1_5_f3_0o_wf?keywords=sandwiches&qid=1691971014&sr=8-5,https://m.media-amazon.com/images/I/51PzTjTaBuL._AC_UL400_.jpg
"Smucker's Uncrustables Peanut Butter & Strawberry Sandwiches, 10 Count",B003OAANT6,9.79,4.8 out of 5 stars,"2,564",https://www.amazon.com/Smuckers-Uncrustables-Strawberry-Sandwiches-10Count/dp/B003OAANT6/ref=sr_1_6_f3_0o_fs?keywords=sandwiches&qid=1691971014&sr=8-6,https://m.media-amazon.com/images/I/91kvCxzK8sL._AC_UL400_.jpg
"Grumpy Butcher Chicken Sandwiches (4.5 oz, 8 pack) | Pulled Chicken with Caramelized Onions & Cheese | Fully-Assembled On Premium Bun | Just Heat & Eat",B0BFFSR3T2,69.87,3.9 out of 5 stars,52,https://www.amazon.com/Butcher-Chicken-Sandwiches-Caramelized-Fully-Assembled/dp/B0BFFSR3T2/ref=sr_1_7?keywords=sandwiches&qid=1691971014&sr=8-7,https://m.media-amazon.com/images/I/61VVLMpYugL._AC_UL400_.jpg
"Smucker's Uncrustables Peanut Butter and Grape Jelly Sandwiches, 2 Oz, 10 Ct Box",B01FW21TLO,9.79,4.8 out of 5 stars,"2,844",https://www.amazon.com/Smuckers-Uncrustables-Peanut-Butter-Sandwiches/dp/B01FW21TLO/ref=sr_1_8_f3_0o_fs?keywords=sandwiches&qid=1691971014&sr=8-8,https://m.media-amazon.com/images/I/91UWEcDznGL._AC_UL400_.jpg
"Tyson Spicy Chicken Breast Sandwich, 24 Oz, 4 Ct Box",B0BRN3NBH9,8.29,4.2 out of 5 stars,29,https://www.amazon.com/Tyson-Spicy-Chicken-Breast-Sandwich/dp/B0BRN3NBH9/ref=sr_1_9_f3_0o_fs?keywords=sandwiches&qid=1691971014&sr=8-9,https://m.media-amazon.com/images/I/81jY4hOkO3L._AC_UL400_.jpg
"Hot Pockets DELIWICH Cheddar Ham Frozen Deli Sandwiches, Ham and Cheese",B09VCL99TC,6.99,3.7 out of 5 stars,103,https://www.amazon.com/Hot-Pockets-Deliwich-Cheddar-Sandwiches/dp/B09VCL99TC/ref=sr_1_10_f3_0o_fs?keywords=sandwiches&qid=1691971014&sr=8-10,https://m.media-amazon.com/images/I/81wzfeb3MVL._AC_UL400_.jpg
