product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link,product_image
"GoGo squeeZ yogurtZ Variety Pack, Strawberry & Banana, 3 oz (Pack of 20), Kids Snacks Made from Real",B097CG18L9,14.35,4.8 out of 5 stars,"1,124",https://www.amazon.com/GoGo-yogurtZ-Variety-Strawberry-Pouches/dp/B097CG18L9/ref=sr_1_1?keywords=yogurts&qid=1691970321&sr=8-1,https://m.media-amazon.com/images/I/81zGmNeK3KL._AC_UL320_.jpg
"GoGo squeeZ yogurtZ Variety Pack, Blueberry and Berry, 3 oz (Pack of 60), Kids Snacks Made from Real",B07C377QTZ,51.54,4.8 out of 5 stars,"1,549",https://www.amazon.com/GoGo-SqueeZ-Blueberry-Portable-Gluten-Free/dp/B07C377QTZ/ref=sr_1_2?keywords=yogurts&qid=1691970321&sr=8-2,https://m.media-amazon.com/images/I/813JLNCX97L._AC_UL320_.jpg
"Chobani® Low-Fat Vanilla Greek Yogurt, Mixed Berry on the Bottom 5.3oz 4-pack",B07JZX58VM,5.49,4.8 out of 5 stars,"2,648",https://www.amazon.com/Chobani-Vanilla-Yogurt-Bottom-4-pack/dp/B07JZX58VM/ref=sr_1_3_f3_0o_fs?keywords=yogurts&qid=1691970321&sr=8-3,https://m.media-amazon.com/images/I/81ppS9+Lb5L._AC_UL320_.jpg
"GoGo squeeZ yogurtZ Blueberry, 3 oz (Pack of 4), Kids Snacks Made from Real",B071KF5KQ4,4.39,4.6 out of 5 stars,"9,185",https://www.amazon.com/GoGo-Blueberry-Portable-BPA-Free-Gluten-Free/dp/B071KF5KQ4/ref=sr_1_4?keywords=yogurts&qid=1691970321&sr=8-4,https://m.media-amazon.com/images/I/81MKLGAqHeL._AC_UL320_.jpg
"ACTIVIA Probiotic Lowfat Yogurt, Variety Pack, Black Cherry & Mixed Berry, Non-GMO Project Verified, 4 Oz, 6 count (Pack of 2)",B00OBFNVGA,8.29,4.8 out of 5 stars,"2,148",https://www.amazon.com/ACTIVIA-Probiotic-Variety-Non-GMO-Verified/dp/B00OBFNVGA/ref=sr_1_5_f3_0o_fs?keywords=yogurts&qid=1691970321&sr=8-5,https://m.media-amazon.com/images/I/9190eoDlsRL._AC_UL320_.jpg
"Yoplait Original Mountain Blueberry & Mixed Berry Low Fat Yogurt Pack, 8 Ct, 6 OZ",B07CKXTNYK,6.39,4.7 out of 5 stars,353,https://www.amazon.com/Yoplait-Original-Yogurt-Mountain-Blueberry/dp/B07CKXTNYK/ref=sr_1_6_f3_0o_fs?keywords=yogurts&qid=1691970321&sr=8-6,https://m.media-amazon.com/images/I/711msND8wlL._AC_UL320_.jpg
"Chobani® Daily Probiotic Greek Yogurt Drink, Strawberry Banana, 4 Fl Oz (Pack of 6)",B08KZ9WKVX,5.79,4.6 out of 5 stars,"1,480",https://www.amazon.com/Chobani-Probiotic-Yogurt-Blueberry-Pomegranate/dp/B08KZ9WKVX/ref=sr_1_7_f3_0o_fs?keywords=yogurts&qid=1691970321&sr=8-7,https://m.media-amazon.com/images/I/81kU61Y89tL._AC_UL320_.jpg
"365 by Whole Foods Market, Yogurt Strawberry 6Pk Organic, 24 Ounce",B07DWG98CM,3.79,4.4 out of 5 stars,"2,302",https://www.amazon.com/365-Everyday-Value-Organic-Strawberry/dp/B07DWG98CM/ref=sr_1_8_f3_0o_wf?keywords=yogurts&qid=1691970321&sr=8-8,https://m.media-amazon.com/images/I/810ZjGPgHwL._AC_UL320_.jpg
"Yoplait Original Strawberry & Harvest Peach Low Fat Yogurt Pack, Fruit Yogurt Snack, 8 Ct, 6 OZ",B01769TQJ8,6.39,4.8 out of 5 stars,"6,270",https://www.amazon.com/Yoplait-Original-Strawberry-Harvest-Variety/dp/B01769TQJ8/ref=sr_1_9_f3_0o_fs?keywords=yogurts&qid=1691970321&sr=8-9,https://m.media-amazon.com/images/I/71WjxqHOfBL._AC_UL320_.jpg
"Yoplait Original Strawberry & Strawberry Banana Low Fat Yogurt Pack, 8 Ct, 6 OZ",B01CYI3TLM,6.39,4.8 out of 5 stars,"4,422",https://www.amazon.com/Yoplait-Original-Variety-strawberry-Strawberry/dp/B01CYI3TLM/ref=sr_1_10_f3_0o_fs?keywords=yogurts&qid=1691970321&sr=8-10,https://m.media-amazon.com/images/I/71geEfSHnNL._AC_UL320_.jpg
